mesh_node,dic_node,distance
150,3684,0.29496879093469114
151,3648,0.2803639058586602
152,3651,0.26945556500957707
153,74,0.23155544122822874
154,187,0.313596201750556
155,3459,0.25489439186812046
156,3462,0.23703993840655455
157,3465,0.24017259019530868
158,3468,0.2575864392974794
159,3471,0.28672165056198395
160,3514,0.28927219677502214
161,3517,0.2796681405401674
162,3520,0.2827527062124166
163,3523,0.29813231280557106
164,3487,0.2714668199370278
165,3490,0.24742023092370657
166,3493,0.23575714380211082
167,71,0.11615328013421622
168,191,0.1767315115211379
169,3301,0.21966783777519075
170,3304,0.20277913640989637
171,3307,0.20649684809218996
172,3310,0.22651456664161648
173,3313,0.2591667032854987
174,3316,0.3003745500437947
175,3359,0.313914334738307
176,3362,0.3166654916334336
177,3326,0.2796663408094195
178,3329,0.24218238895016286
179,3332,0.2148992675110397
180,3335,0.2006759271509223
181,67,0.21184609774221183
182,194,0.32142037387172956
183,3143,0.19140430304239206
184,3146,0.16884631537176642
185,3149,0.17306288239804055
186,3152,0.19651631457145832
187,3155,0.23340349843946803
188,3158,0.2784505042299639
189,3161,0.32831559901893187
190,3165,0.30382540438939337
191,3168,0.25597475495376376
192,3171,0.21438778535522263
193,3174,0.18302556565674977
194,3177,0.1655088528491662
195,64,0.129138584719691
196,198,0.15909923666382847
197,2985,0.16162530590197194
198,2988,0.13472775966170727
199,2991,0.14004660699364824
200,2994,0.16816941683690204
201,2997,0.21009398837258075
202,3000,0.2592237916789979
203,3003,0.3121753088020822
204,3007,0.2863078189971307
205,3010,0.23491565729034486
206,3013,0.1887443068705182
207,3016,0.15220873124116233
208,3019,0.13209173257197646
209,60,0.19229266574184772
210,201,0.33090413315704853
211,2827,0.13220254190337946
212,2830,0.10093623698306045
213,2833,0.10783049912418691
214,2836,0.142461634028961
215,2839,0.19014165340933586
216,2842,0.24333380074164465
217,2845,0.2991116644944047
218,2849,0.2720046536914978
219,2852,0.2172549894734127
220,2855,0.16624914371800614
221,2858,0.12324249101887753
222,2861,0.09730911292867528
223,57,0.14370976244884756
224,205,0.14350623546099142
225,2669,0.11196066224350197
226,2672,0.06759386106032193
227,2675,0.07741998770816072
228,2678,0.12108573460801277
